breed,coat_type,coat_length,size,shedding,grooming_frequency,matting_risk,heat_sensitivity,moisture_sensitivity,double_coat,clipping_risk,style,season,price,maintenance_level,season_fit,clip_intensity,undercoat_safe,base_popularity,coat_compatible,size_compatible,expert_score
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,1,1,84.32249999999999
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,1,1,83.35699999999999
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,1,22.5275
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,1,24.053
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,0,1,14.427000000000001
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,0,1,18.302500000000002
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,18.617000000000004
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,20.730000000000004
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,10.278
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,12.552
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Summer Cut,rainy,750.0,0.25,0.48,0.9,0,0.74,1,1,74.6475
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Summer Cut,dry,750.0,0.25,0.88,0.9,0,0.74,1,1,83.732
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Sanitary Trim,rainy,800.0,0.18,0.95,0.2,1,0.85,1,1,90.80699999999999
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Sanitary Trim,dry,800.0,0.18,0.82,0.2,1,0.85,1,1,85.243
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Show Cut,rainy,1500.0,0.95,0.32,0.45,1,0.42,0,1,5.3125
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Show Cut,dry,1500.0,0.95,0.45,0.45,1,0.42,0,1,9.5275
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Bath & Brush Only,rainy,600.0,0.2,0.9,0.0,1,0.88,1,1,90.42
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,Bath & Brush Only,dry,600.0,0.2,0.78,0.0,1,0.88,1,1,85.03699999999999
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,De-shedding Treatment,rainy,700.0,0.3,0.92,0.05,1,0.9,1,1,89.05499999999999
